ubigeo;distrito;centro_poblado;region_natural;altitud_msnm;pob_2017;categoria_ign;lon;lat;fuente_coord
060607;Querocotillo;La Palma;Yunga fluvial;1973;56;CASERÃO;-79.13977587199997;-6.236197370999946;IGN
060607;Querocotillo;Puma;Yunga fluvial;2062;47;;-79.08596873599998;-6.2035487239999725;INEI
060607;Querocotillo;Union Quilagan;Yunga fluvial;2070;44;;-78.93120111199994;-6.259253848999947;INEI
060607;Querocotillo;El Lanche;Rupa Rupa;1190;43;;-79.02933011099998;-6.1385604739999735;INEI
060607;Querocotillo;Succhuran;Yunga fluvial;1711;39;;-78.97218748699999;-6.243892598999935;INEI
060607;Querocotillo;Lanchepampa;Yunga fluvial;1615;39;;;;
060607;Querocotillo;Catache;Yunga fluvial;1652;37;;-79.08953123599997;-6.217898348999938;INEI
060607;Querocotillo;San Andres;Yunga fluvial;2296;36;CASERÃO;-79.10991710199994;-6.202151510999954;INEI
060607;Querocotillo;Sanibamba;Rupa Rupa;1083;34;CASERÃO;-79.02287224399998;-6.210794345999943;IGN
060607;Querocotillo;Ventarrones;Yunga fluvial;2115;33;CASERÃO;-78.98186327899998;-6.132507812999961;IGN
060607;Querocotillo;Combento;Yunga fluvial;1522;32;;;;
060607;Querocotillo;Las Juntas;Rupa Rupa;1070;28;CASERÃO;-79.03589650899994;-6.187023177999947;IGN
060607;Querocotillo;Sulupampa;Yunga fluvial;1773;27;;-79.08732611099998;-6.259929598999975;INEI
060607;Querocotillo;Nuevo Chiclayo;Yunga fluvial;1619;24;;;;
060607;Querocotillo;Tambillo;Rupa Rupa;1149;19;CASERÃO;-79.12986718199994;-6.171304686999974;INEI
060607;Querocotillo;La Floresta;Yunga fluvial;1794;14;ANEXO;-79.10359043099999;-6.236684289999971;IGN
060607;Querocotillo;El Palto;Rupa Rupa;1180;10;CASERÃO;-79.04594530999998;-6.259029295999937;INEI
060607;Querocotillo;El Arenal;Rupa Rupa;1067;7;ANEXO;-79.03378937899998;-6.200668096999948;IGN
060607;Querocotillo;Sauces;Rupa Rupa;983;7;;-79.17029598499994;-6.142725348999932;INEI
060607;Querocotillo;Hornillas;Rupa Rupa;980;5;ANEXO;-79.08349804199997;-6.159869140999945;INEI
060607;Querocotillo;Guarangayoc;Rupa Rupa;1311;0;ANEXO;-79.02431567999997;-6.253327669999976;INEI
060608;San Andrés De Cutervo;San Andres De Cutervo;Yunga fluvial;2090;1101;PUEBLO;-78.71095304199997;-6.239566061999938;IGN
060608;San Andrés De Cutervo;La Flor;Yunga fluvial;1916;475;CASERÃO;-78.79704359299996;-6.180041309999979;IGN
060608;San Andrés De Cutervo;Quilluguay;Yunga fluvial;2216;473;CASERÃO;-78.65135363099995;-6.197035238999945;INEI
060608;San Andrés De Cutervo;La Succha;Yunga fluvial;2228;386;CASERÃO;-78.67620970499996;-6.242812138999966;IGN
060608;San Andrés De Cutervo;Pajonal;Quechua;2505;366;;-78.74258986299998;-6.226288973999942;INEI
060608;San Andrés De Cutervo;Illugan;Yunga fluvial;2070;308;CASERÃO;-78.68337163499996;-6.240314466999962;IGN
060608;San Andrés De Cutervo;Shitabamba;Quechua;2333;256;CASERÃO;-78.71520760099997;-6.242963495999959;IGN
