ubigeo;distrito;codigo_local;local_votacion;mesas;electores_2026;votos_emitidos_2v2026;participacion_2v2026;pct_electores_provincia;pct_electores_distrito;centro_poblado_iiee;area_iiee;ie_padron;lat;lon;coord_fuente
060601;Cutervo;51279;IESTP PERUANO DE CIENCIAS EMPRESARIALES;7;2093;1416;67.7;1.94;4.8;Cutervo;Urbana;INSTITUTO PERUANO DE CIENCIAS EMPRESARIALES;-6.378980468999941;-78.81791992199999;CCPP Cutervo
060603;Choros;1140;IE JOSE CARLOS MARIATEGUI;8;2092;1039;49.7;1.94;61.8;Choros;Urbana;JOSE CARLOS MARIATEGUI;-5.90136001299993;-78.69371940699995;CCPP Choros
060607;Querocotillo;6594;IE 10316 LOCAL NUEVO;7;2045;706;34.5;1.89;17.8;Querocotillo;Urbana;10316;-6.273719794999977;-79.03830396099994;CCPP Querocotillo
060606;Pimpingos;1144;IE JEC MANUEL GONZALES PRADA;7;2030;1063;52.4;1.88;42.9;Pimpincos;Urbana;MANUEL GONZALES PRADA;-6.060339301999932;-78.75765285099999;capital distrital (aprox.)
060606;Pimpingos;51283;IE 16415;7;1842;960;52.1;1.71;38.9;Pimpincos;Urbana;16415;-6.060339301999932;-78.75765285099999;capital distrital (aprox.)
060601;Cutervo;53223;IESTP CUTERVO;6;1794;1250;69.7;1.66;4.1;Cutervo;Urbana;CUTERVO;-6.378980468999941;-78.81791992199999;CCPP Cutervo
060602;Callayuc;52742;IE EL CUMBE;7;1773;782;44.1;1.64;23.0;El Cumbe;Rural;EL CUMBE;-6.18081852399996;-78.91039958399995;capital distrital (aprox.)
060614;Socota;1154;IE 10366 LOCAL ANTIGUO;6;1758;1121;63.8;1.63;21.7;Socota;Urbana;10366;-6.3153261719999705;-78.69888866999997;CCPP Socota
060608;San Andrés De Cutervo;1147;IE JOSE CARLOS MARIATEGUI;6;1736;982;56.6;1.61;43.3;San Andres De Cutervo;Urbana;JOSE CARLOS MARIATEGUI;-6.239566061999938;-78.71095304199997;CCPP San Andres De Cutervo
060607;Querocotillo;54377;IE JOSE ANTONIO CHACON BAZAN;5;1494;337;22.6;1.38;13.0;Las Delicias;Rural;JOSE ANTONIO CHACON BAZAN;-6.213230473999943;-79.05317973599995;CCPP Las Delicias
060612;Santo Domingo De La Capilla;9592;IE 10349;5;1480;803;54.3;1.37;32.0;Santo Domingo De La Capilla;Urbana;10349;-6.243565880999938;-78.85550733599996;CCPP Santo Domingo De La Capilla
060611;Santa Cruz;32414;IE CRUZ DE CHALPON;5;1446;819;56.6;1.34;52.3;Santa Cruz;Urbana;CRUZ DE CHALPON;-6.095945312999959;-78.85217382699994;CCPP Santa Cruz
060610;San Luis De Lucma;1149;IE DANIEL ALCIDES CARRION;5;1440;939;65.2;1.33;53.9;San Luis De Lucma;Urbana;DANIEL ALCIDES CARRION;-6.293738231999953;-78.60390823599994;CCPP San Luis De Lucma
060602;Callayuc;1137;IE 10291;5;1430;772;54.0;1.32;18.5;Callayuc;Urbana;10291;-6.18081852399996;-78.91039958399995;CCPP Callayuc
060611;Santa Cruz;50856;IE 16437;5;1319;519;39.3;1.22;47.7;Santa Cruz;Urbana;16437;-6.095945312999959;-78.85217382699994;CCPP Santa Cruz
060610;San Luis De Lucma;22511;IE 10359;5;1231;663;53.9;1.14;46.1;San Luis De Lucma;Urbana;10359;-6.293738231999953;-78.60390823599994;CCPP San Luis De Lucma
060601;Cutervo;1135;IE 10237;4;1196;876;73.2;1.11;2.7;Cutervo;Urbana;10237;-6.378980468999941;-78.81791992199999;CCPP Cutervo
060607;Querocotillo;50080;IE SAN MARCOS;4;1154;612;53.0;1.07;10.1;Sillangate;Rural;SAN MARCOS;-6.208989249999945;-78.99128505499993;CCPP Sillangate
060604;Cujillo;1139;IE 16397;4;1148;619;53.9;1.06;53.8;Cujillo;Urbana;16397;-6.106396926999935;-78.57347654599994;CCPP Cujillo
060615;Toribio Casanova;6768;IE DANIEL ALCIDES CARRION;4;1138;662;58.2;1.05;100.0;La Sacilia;Urbana;DANIEL ALCIDES CARRION;-6.009242778999976;-78.69943945299997;CCPP La Sacilia
